ticker,first_valid,missing_frac
NTAP,1998-01-05,0.0
NTRS,1998-01-05,0.0
NUE,1998-01-05,0.0
NVR,1998-01-05,0.0
O,1998-01-05,0.0
ODFL,1998-01-05,0.0
OKE,1998-01-05,0.0
OMC,1998-01-05,0.0
ORCL,1998-01-05,0.0
ORLY,1998-01-05,0.0
OXY,1998-01-05,0.0
PAYX,1998-01-05,0.0
PCAR,1998-01-05,0.0
PCG,1998-01-05,0.0
PEG,1998-01-05,0.0
PEP,1998-01-05,0.0
PFE,1998-01-05,0.0
PG,1998-01-05,0.0
PGR,1998-01-05,0.0
PH,1998-01-05,0.0
PHM,1998-01-05,0.0
PLD,1998-01-05,0.0
PNC,1998-01-05,0.0
PNR,1998-01-05,0.0
PNW,1998-01-05,0.0
PPG,1998-01-05,0.0
PPL,1998-01-05,0.0
PSA,1998-01-05,0.0
PTC,1998-01-05,0.0
QCOM,1998-01-05,0.0
RCL,1998-01-05,0.0
REG,1998-01-05,0.0
REGN,1998-01-05,0.0
RF,1998-01-05,0.0
RJF,1998-01-05,0.0
RL,1998-01-05,0.0
RMD,1998-01-05,0.0
ROK,1998-01-05,0.0
ROL,1998-01-05,0.0
ROP,1998-01-05,0.0
ROST,1998-01-05,0.0
RTX,1998-01-05,0.0
RVTY,1998-01-05,0.0
SBUX,1998-01-05,0.0
SCHW,1998-01-05,0.0
SHW,1998-01-05,0.0
SJM,1998-01-05,0.0
SLB,1998-01-05,0.0
SNA,1998-01-05,0.0
SNPS,1998-01-05,0.0
SO,1998-01-05,0.0
SPG,1998-01-05,0.0
SPGI,1998-01-05,0.0
STE,1998-01-05,0.0
STLD,1998-01-05,0.0
STT,1998-01-05,0.0
STZ,1998-01-05,0.0
SWK,1998-01-05,0.0
SWKS,1998-01-05,0.0
SYK,1998-01-05,0.0
SYY,1998-01-05,0.0
T,1998-01-05,0.0
TAP,1998-01-05,0.0
TECH,1998-01-05,0.0
TER,1998-01-05,0.0
TFC,1998-01-05,0.0
TGT,1998-01-05,0.0
TJX,1998-01-05,0.0
TMO,1998-01-05,0.0
TPL,1998-01-05,0.0
TRMB,1998-01-05,0.0
TROW,1998-01-05,0.0
TRV,1998-01-05,0.0
TSCO,1998-01-05,0.0
TSN,1998-01-05,0.0
TT,1998-01-05,0.0
TTWO,1998-01-05,0.0
TXN,1998-01-05,0.0
TXT,1998-01-05,0.0
TYL,1998-01-05,0.0
UDR,1998-01-05,0.0
UHS,1998-01-05,0.0
UNH,1998-01-05,0.0
UNP,1998-01-05,0.0
URI,1998-01-05,0.0
USB,1998-01-05,0.0
VLO,1998-01-05,0.0
VMC,1998-01-05,0.0
VMRK,1998-01-05,0.0
VRTX,1998-01-05,0.0
VTR,1998-01-05,0.0
VTRS,1998-01-05,0.0
VZ,1998-01-05,0.0
WAB,1998-01-05,0.0
WAT,1998-01-05,0.0
WDC,1998-01-05,0.0
WEC,1998-01-05,0.0
WELL,1998-01-05,0.0
WFC,1998-01-05,0.0
WM,1998-01-05,0.0
WMB,1998-01-05,0.0
WMT,1998-01-05,0.0
WRB,1998-01-05,0.0
WSM,1998-01-05,0.0
WST,1998-01-05,0.0
WY,1998-01-05,0.0
XEL,1998-01-05,0.0
XOM,1998-01-05,0.0
YUM,1998-01-05,0.0
ZBRA,1998-01-05,0.0
